match,velocity,north,east,lat,lon,current_velocity,current_latitude,current_longitude,delta_time,u1,u2
1,42.2594413757324,0.0,1.0,38.051366072378244,-122.12881264191931,79.3739318847656,38.123486460493119,-122.10096904703791,265,14881,14882
1,42.2594413757324,0.0,1.0,38.051366072378244,-122.12881264191931,64.6660766601563,38.170968815358115,-122.07978568897386,576,14881,14883
1,8.88560581207275,0.0,1.0,39.958126504728511,-75.18139826093352,33.404899597168,39.970687311859834,-75.203275336717041,164,14881,14882
1,8.88560581207275,0.0,1.0,39.958126504728511,-75.18139826093352,26.9170989990234,39.991753181060126,-75.250757208722149,477,14881,14883
1,8.88560581207275,0.0,1.0,39.958126504728511,-75.18139826093352,25.1903800964355,40.002913440418,-75.27284545050469,599,14881,14884
1,70.0999984741211,0.0,1.0,41.867398247207554,-71.402329165748469,93.0999984741211,41.897093267761839,-71.358885358357483,176,14881,14882
1,70.0999984741211,0.0,1.0,41.867398247207554,-71.402329165748469,128.369033813477,42.047126918785793,-71.209766851900866,549,14881,14883
1,0.0559233911335468,0.0,1.0,41.563778091431431,-87.6674556808999,43.9992790222168,41.569488891849083,-87.664370315307551,176,14881,14882
1,0.0559233911335468,0.0,1.0,41.563778091431431,-87.6674556808999,79.6783981323242,41.651180320452596,-87.620775536088516,438,14881,14883
1,0.0559233911335468,0.0,1.0,41.563778091431431,-87.6674556808999,29.0055999755859,41.684371317509559,-87.612361890883562,567,14881,14884
1,80.1133575439453,0.0,1.0,35.291807053175908,-107.98450739839743,50.051441192627,35.360371120563656,-108.02909307177211,315,14882,14883
1,73.9990692138672,0.0,1.0,37.632845383611908,-104.02311146614174,76.7206802368164,37.691892917773536,-103.94949893217553,300,14882,14883
1,51.2693214416504,0.0,1.0,47.736554995626349,-122.3755184719503,42.7565383911133,47.797603125855062,-122.39227107681462,314,14882,14883
1,51.2693214416504,0.0,1.0,47.736554995626349,-122.3755184719503,0.00621371017768979,47.812022959316074,-122.38338250415424,555,14882,14884
1,61.1304817199707,0.0,1.0,47.208036279754886,-122.48601488494283,0.161556497216225,47.239718688160941,-122.42570645078816,406,14882,14883
1,61.1304817199707,0.0,1.0,47.208036279754886,-122.48601488494283,18.0943202972412,47.239814461913504,-122.42450211840671,587,14882,14884
1,0.0,0.0,1.0,41.879007853244069,-87.6393057527007,14.1195650100708,41.871620760561242,-87.6377781484282,365,14882,14887
1,26.7895927429199,0.0,1.0,41.5825889930788,-73.9473128845934,79.3397903442383,41.677602119559054,-73.93986293116474,357,14882,14883
1,26.7895927429199,0.0,1.0,41.5825889930788,-73.9473128845934,0.0,41.70705029041595,-73.938104233945282,541,14882,14884
1,3.99293780326843,0.0,1.0,42.580219596108691,-87.904981793763739,75.3759307861328,42.648370662059286,-87.905351772423771,358,14882,14883
1,3.99293780326843,0.0,1.0,42.580219596108691,-87.904981793763739,37.710334777832,42.6863721685935,-87.905559913351524,541,14882,14884
1,39.7012100219727,0.0,1.0,41.449265337434419,-72.828469436872638,60.8760833740234,41.507264981440095,-72.815630633054155,358,14882,14883
1,39.7012100219727,0.0,1.0,41.449265337434419,-72.828469436872638,31.3462409973145,41.536515124980667,-72.803198640784444,541,14882,14884
1,72.9675979614258,0.0,1.0,32.809056283120228,-117.2162136992151,65.2626037597656,32.863257388976891,-117.20489870666057,256,14882,14883
1,72.9675979614258,0.0,1.0,32.809056283120228,-117.2162136992151,65.2626037597656,32.863261904126688,-117.20490218333207,256,14882,14884
